metric,high_error_avg,low_error_avg,high_metric_value,low_metric_value,difference,high_plan_idx,low_plan_idx,avg_relative_value
longest_path_len,19.11156387449233,1.8589103942430538,13.0,6.0,7.0,90,10,0.41031147210848773
max_log_card_error,19.11156387449233,1.8589103942430538,12.385371478115507,3.127192861570068,9.25817861654544,90,10,0.41031147210848773
num_columns,19.11156387449233,1.8589103942430538,58.0,23.0,35.0,90,10,0.41031147210848773
num_filters,19.11156387449233,1.8589103942430538,11.0,4.0,7.0,90,10,0.41031147210848773
num_joins,19.11156387449233,1.8589103942430538,11.0,3.0,8.0,90,10,0.41031147210848773
num_nested_loop,19.11156387449233,1.8589103942430538,9.0,2.0,7.0,90,10,0.41031147210848773
num_nodes,19.11156387449233,1.8589103942430538,25.0,9.0,16.0,90,10,0.41031147210848773
num_tables,19.11156387449233,1.8589103942430538,11.0,4.0,7.0,90,10,0.41031147210848773
longest_path_len,22.72108553063438,1.8589103942430538,15.0,6.0,9.0,97,10,0.38191769140439835
max_log_card_error,22.72108553063438,1.8589103942430538,9.189474179294798,3.127192861570068,6.062281317724731,97,10,0.38191769140439835
num_columns,22.72108553063438,1.8589103942430538,56.0,23.0,33.0,97,10,0.38191769140439835
num_filters,22.72108553063438,1.8589103942430538,16.0,4.0,12.0,97,10,0.38191769140439835
num_joins,22.72108553063438,1.8589103942430538,13.0,3.0,10.0,97,10,0.38191769140439835
num_nested_loop,22.72108553063438,1.8589103942430538,11.0,2.0,9.0,97,10,0.38191769140439835
num_nodes,22.72108553063438,1.8589103942430538,31.0,9.0,22.0,97,10,0.38191769140439835
num_tables,22.72108553063438,1.8589103942430538,12.0,4.0,8.0,97,10,0.38191769140439835
longest_path_len,22.72108553063438,2.1383743661895487,15.0,7.0,8.0,97,15,0.4362692751542498
max_log_card_error,22.72108553063438,2.1383743661895487,9.189474179294798,2.7810753361171,6.408398843177698,97,15,0.4362692751542498
num_columns,22.72108553063438,2.1383743661895487,56.0,26.0,30.0,97,15,0.4362692751542498
num_filters,22.72108553063438,2.1383743661895487,16.0,4.0,12.0,97,15,0.4362692751542498
num_joins,22.72108553063438,2.1383743661895487,13.0,4.0,9.0,97,15,0.4362692751542498
num_nested_loop,22.72108553063438,2.1383743661895487,11.0,4.0,7.0,97,15,0.4362692751542498
num_nodes,22.72108553063438,2.1383743661895487,31.0,11.0,20.0,97,15,0.4362692751542498
num_tables,22.72108553063438,2.1383743661895487,12.0,5.0,7.0,97,15,0.4362692751542498
longest_path_len,22.72108553063438,1.874189022509366,15.0,7.0,8.0,97,22,0.4610526515068871
max_log_card_error,22.72108553063438,1.874189022509366,9.189474179294798,4.927757963896497,4.261716215398302,97,22,0.4610526515068871
num_columns,22.72108553063438,1.874189022509366,56.0,34.0,22.0,97,22,0.4610526515068871
num_filters,22.72108553063438,1.874189022509366,16.0,3.0,13.0,97,22,0.4610526515068871
num_joins,22.72108553063438,1.874189022509366,13.0,4.0,9.0,97,22,0.4610526515068871
num_nested_loop,22.72108553063438,1.874189022509366,11.0,3.0,8.0,97,22,0.4610526515068871
num_nodes,22.72108553063438,1.874189022509366,31.0,11.0,20.0,97,22,0.4610526515068871
num_tables,22.72108553063438,1.874189022509366,12.0,5.0,7.0,97,22,0.4610526515068871
longest_path_len,148.728909900487,1.8589103942430538,15.0,6.0,9.0,99,10,0.3589407408710597
max_log_card_error,148.728909900487,1.8589103942430538,6.697651341175731,3.127192861570068,3.5704584796056626,99,10,0.3589407408710597
num_columns,148.728909900487,1.8589103942430538,85.0,23.0,62.0,99,10,0.3589407408710597
num_filters,148.728909900487,1.8589103942430538,17.0,4.0,13.0,99,10,0.3589407408710597
num_joins,148.728909900487,1.8589103942430538,16.0,3.0,13.0,99,10,0.3589407408710597
num_nested_loop,148.728909900487,1.8589103942430538,12.0,2.0,10.0,99,10,0.3589407408710597
