metric,high_error_avg,low_error_avg,high_metric_value,low_metric_value,difference,high_plan_idx,low_plan_idx,avg_relative_value
longest_path_len,366.5366588390851,1.2446672522229747,7.0,3.0,4.0,989,123,0.16765581232492996
max_log_card_error,366.5366588390851,1.2446672522229747,2.729824192827971,0.0,2.729824192827971,989,123,0.16765581232492996
num_columns,366.5366588390851,1.2446672522229747,40.0,9.0,31.0,989,123,0.16765581232492996
num_filters,366.5366588390851,1.2446672522229747,6.0,0.0,6.0,989,123,0.16765581232492996
num_joins,366.5366588390851,1.2446672522229747,6.0,1.0,5.0,989,123,0.16765581232492996
num_nested_loop,366.5366588390851,1.2446672522229747,4.0,0.0,4.0,989,123,0.16765581232492996
num_nodes,366.5366588390851,1.2446672522229747,17.0,4.0,13.0,989,123,0.16765581232492996
num_tables,366.5366588390851,1.2446672522229747,7.0,2.0,5.0,989,123,0.16765581232492996
longest_path_len,366.5366588390851,1.8858799254919545,7.0,3.0,4.0,989,912,0.18640581232492998
max_log_card_error,366.5366588390851,1.8858799254919545,2.729824192827971,0.0,2.729824192827971,989,912,0.18640581232492998
num_columns,366.5366588390851,1.8858799254919545,40.0,15.0,25.0,989,912,0.18640581232492998
num_filters,366.5366588390851,1.8858799254919545,6.0,0.0,6.0,989,912,0.18640581232492998
num_joins,366.5366588390851,1.8858799254919545,6.0,1.0,5.0,989,912,0.18640581232492998
num_nested_loop,366.5366588390851,1.8858799254919545,4.0,0.0,4.0,989,912,0.18640581232492998
num_nodes,366.5366588390851,1.8858799254919545,17.0,4.0,13.0,989,912,0.18640581232492998
num_tables,366.5366588390851,1.8858799254919545,7.0,2.0,5.0,989,912,0.18640581232492998
longest_path_len,366.5366588390851,1.2446672522229747,7.0,3.0,4.0,989,1310,0.16765581232492996
max_log_card_error,366.5366588390851,1.2446672522229747,2.729824192827971,0.0,2.729824192827971,989,1310,0.16765581232492996
num_columns,366.5366588390851,1.2446672522229747,40.0,9.0,31.0,989,1310,0.16765581232492996
num_filters,366.5366588390851,1.2446672522229747,6.0,0.0,6.0,989,1310,0.16765581232492996
num_joins,366.5366588390851,1.2446672522229747,6.0,1.0,5.0,989,1310,0.16765581232492996
num_nested_loop,366.5366588390851,1.2446672522229747,4.0,0.0,4.0,989,1310,0.16765581232492996
num_nodes,366.5366588390851,1.2446672522229747,17.0,4.0,13.0,989,1310,0.16765581232492996
num_tables,366.5366588390851,1.2446672522229747,7.0,2.0,5.0,989,1310,0.16765581232492996
longest_path_len,366.5366588390851,1.3282596791605519,7.0,3.0,4.0,989,1660,0.18640581232492998
max_log_card_error,366.5366588390851,1.3282596791605519,2.729824192827971,0.0,2.729824192827971,989,1660,0.18640581232492998
num_columns,366.5366588390851,1.3282596791605519,40.0,15.0,25.0,989,1660,0.18640581232492998
num_filters,366.5366588390851,1.3282596791605519,6.0,0.0,6.0,989,1660,0.18640581232492998
num_joins,366.5366588390851,1.3282596791605519,6.0,1.0,5.0,989,1660,0.18640581232492998
num_nested_loop,366.5366588390851,1.3282596791605519,4.0,0.0,4.0,989,1660,0.18640581232492998
num_nodes,366.5366588390851,1.3282596791605519,17.0,4.0,13.0,989,1660,0.18640581232492998
num_tables,366.5366588390851,1.3282596791605519,7.0,2.0,5.0,989,1660,0.18640581232492998
longest_path_len,366.5366588390851,1.7440581657867036,7.0,3.0,4.0,989,1665,0.18640581232492998
max_log_card_error,366.5366588390851,1.7440581657867036,2.729824192827971,0.0,2.729824192827971,989,1665,0.18640581232492998
num_columns,366.5366588390851,1.7440581657867036,40.0,15.0,25.0,989,1665,0.18640581232492998
num_filters,366.5366588390851,1.7440581657867036,6.0,0.0,6.0,989,1665,0.18640581232492998
num_joins,366.5366588390851,1.7440581657867036,6.0,1.0,5.0,989,1665,0.18640581232492998
num_nested_loop,366.5366588390851,1.7440581657867036,4.0,0.0,4.0,989,1665,0.18640581232492998
num_nodes,366.5366588390851,1.7440581657867036,17.0,4.0,13.0,989,1665,0.18640581232492998
num_tables,366.5366588390851,1.7440581657867036,7.0,2.0,5.0,989,1665,0.18640581232492998
longest_path_len,366.5366588390851,1.0460465026310948,7.0,3.0,4.0,989,1775,0.16765581232492996
max_log_card_error,366.5366588390851,1.0460465026310948,2.729824192827971,0.0,2.729824192827971,989,1775,0.16765581232492996
num_columns,366.5366588390851,1.0460465026310948,40.0,9.0,31.0,989,1775,0.16765581232492996
num_filters,366.5366588390851,1.0460465026310948,6.0,0.0,6.0,989,1775,0.16765581232492996
num_joins,366.5366588390851,1.0460465026310948,6.0,1.0,5.0,989,1775,0.16765581232492996
num_nested_loop,366.5366588390851,1.0460465026310948,4.0,0.0,4.0,989,1775,0.16765581232492996
num_nodes,366.5366588390851,1.0460465026310948,17.0,4.0,13.0,989,1775,0.16765581232492996
num_tables,366.5366588390851,1.0460465026310948,7.0,2.0,5.0,989,1775,0.16765581232492996
longest_path_len,366.5366588390851,1.2446672522229747,7.0,3.0,4.0,989,2024,0.16765581232492996
max_log_card_error,366.5366588390851,1.2446672522229747,2.729824192827971,0.0,2.729824192827971,989,2024,0.16765581232492996
num_columns,366.5366588390851,1.2446672522229747,40.0,9.0,31.0,989,2024,0.16765581232492996
num_filters,366.5366588390851,1.2446672522229747,6.0,0.0,6.0,989,2024,0.16765581232492996
num_joins,366.5366588390851,1.2446672522229747,6.0,1.0,5.0,989,2024,0.16765581232492996
num_nested_loop,366.5366588390851,1.2446672522229747,4.0,0.0,4.0,989,2024,0.16765581232492996
num_nodes,366.5366588390851,1.2446672522229747,17.0,4.0,13.0,989,2024,0.16765581232492996
num_tables,366.5366588390851,1.2446672522229747,7.0,2.0,5.0,989,2024,0.16765581232492996
longest_path_len,366.5366588390851,1.0460465026310948,7.0,3.0,4.0,989,2066,0.16765581232492996
max_log_card_error,366.5366588390851,1.0460465026310948,2.729824192827971,0.0,2.729824192827971,989,2066,0.16765581232492996
num_columns,366.5366588390851,1.0460465026310948,40.0,9.0,31.0,989,2066,0.16765581232492996
num_filters,366.5366588390851,1.0460465026310948,6.0,0.0,6.0,989,2066,0.16765581232492996
