metric,high_error_avg,low_error_avg,high_metric_value,low_metric_value,difference,high_plan_idx,low_plan_idx,avg_relative_value
longest_path_len,255.03358680385858,1.0952973213177704,6.0,3.0,3.0,132,0,0.3412698412698412
max_log_card_error,255.03358680385858,1.0952973213177704,9.664983668189045,0.0,9.664983668189045,132,0,0.3412698412698412
num_columns,255.03358680385858,1.0952973213177704,28.0,9.0,19.0,132,0,0.3412698412698412
num_filters,255.03358680385858,1.0952973213177704,5.0,1.0,4.0,132,0,0.3412698412698412
num_joins,255.03358680385858,1.0952973213177704,4.0,1.0,3.0,132,0,0.3412698412698412
num_nested_loop,255.03358680385858,1.0952973213177704,4.0,0.0,4.0,132,0,0.3412698412698412
num_nodes,255.03358680385858,1.0952973213177704,10.0,4.0,6.0,132,0,0.3412698412698412
num_tables,255.03358680385858,1.0952973213177704,5.0,2.0,3.0,132,0,0.3412698412698412
longest_path_len,156.03991648063666,1.0952973213177704,8.0,3.0,5.0,134,0,0.2721340388007054
max_log_card_error,156.03991648063666,1.0952973213177704,5.533694058195852,0.0,5.533694058195852,134,0,0.2721340388007054
num_columns,156.03991648063666,1.0952973213177704,40.0,9.0,31.0,134,0,0.2721340388007054
num_filters,156.03991648063666,1.0952973213177704,9.0,1.0,8.0,134,0,0.2721340388007054
num_joins,156.03991648063666,1.0952973213177704,6.0,1.0,5.0,134,0,0.2721340388007054
num_nested_loop,156.03991648063666,1.0952973213177704,6.0,0.0,6.0,134,0,0.2721340388007054
num_nodes,156.03991648063666,1.0952973213177704,14.0,4.0,10.0,134,0,0.2721340388007054
num_tables,156.03991648063666,1.0952973213177704,7.0,2.0,5.0,134,0,0.2721340388007054
longest_path_len,156.03991648063666,1.017424120959378,8.0,3.0,5.0,134,4,0.3311549546235414
max_log_card_error,156.03991648063666,1.017424120959378,5.533694058195852,1.7404661748405044,3.793227883355348,134,4,0.3311549546235414
num_columns,156.03991648063666,1.017424120959378,40.0,11.0,29.0,134,4,0.3311549546235414
num_filters,156.03991648063666,1.017424120959378,9.0,1.0,8.0,134,4,0.3311549546235414
num_joins,156.03991648063666,1.017424120959378,6.0,1.0,5.0,134,4,0.3311549546235414
num_nested_loop,156.03991648063666,1.017424120959378,6.0,1.0,5.0,134,4,0.3311549546235414
