metric,high_error_avg,low_error_avg,high_metric_value,low_metric_value,difference,high_plan_idx,low_plan_idx,avg_relative_value
join_tree_diameter,1.5179042784728063,1.0137284119534098,1.0,0.0,1.0,422,468,0.11680005273536415
longest_path_len,1.5179042784728063,1.0137284119534098,5.0,1.0,4.0,422,468,0.11680005273536415
max_log_card_error,1.5179042784728063,1.0137284119534098,1.6567419257551013,1.6564814529829164e-05,1.6567253609405714,422,468,0.11680005273536415
num_columns,1.5179042784728063,1.0137284119534098,24.0,3.0,21.0,422,468,0.11680005273536415
num_filters,1.5179042784728063,1.0137284119534098,4.0,1.0,3.0,422,468,0.11680005273536415
num_joins,1.5179042784728063,1.0137284119534098,2.0,0.0,2.0,422,468,0.11680005273536415
num_nested_loop,1.5179042784728063,1.0137284119534098,1.0,0.0,1.0,422,468,0.11680005273536415
num_nodes,1.5179042784728063,1.0137284119534098,7.0,1.0,6.0,422,468,0.11680005273536415
num_tables,1.5179042784728063,1.0137284119534098,3.0,1.0,2.0,422,468,0.11680005273536415
join_tree_diameter,1.5179042784728063,1.0184179199688328,1.0,0.0,1.0,422,746,0.11679914672145035
longest_path_len,1.5179042784728063,1.0184179199688328,5.0,1.0,4.0,422,746,0.11679914672145035
max_log_card_error,1.5179042784728063,1.0184179199688328,1.6567419257551013,3.0555334031845405e-06,1.656738870221698,422,746,0.11679914672145035
num_columns,1.5179042784728063,1.0184179199688328,24.0,3.0,21.0,422,746,0.11679914672145035
num_filters,1.5179042784728063,1.0184179199688328,4.0,1.0,3.0,422,746,0.11679914672145035
num_joins,1.5179042784728063,1.0184179199688328,2.0,0.0,2.0,422,746,0.11679914672145035
num_nested_loop,1.5179042784728063,1.0184179199688328,1.0,0.0,1.0,422,746,0.11679914672145035
num_nodes,1.5179042784728063,1.0184179199688328,7.0,1.0,6.0,422,746,0.11679914672145035
num_tables,1.5179042784728063,1.0184179199688328,3.0,1.0,2.0,422,746,0.11679914672145035
join_tree_diameter,1.5179042784728063,1.019521135726235,1.0,0.0,1.0,422,1074,0.1168007867323661
longest_path_len,1.5179042784728063,1.019521135726235,5.0,1.0,4.0,422,1074,0.1168007867323661
max_log_card_error,1.5179042784728063,1.019521135726235,1.6567419257551013,2.750920698879611e-05,1.6567144165481125,422,1074,0.1168007867323661
num_columns,1.5179042784728063,1.019521135726235,24.0,3.0,21.0,422,1074,0.1168007867323661
num_filters,1.5179042784728063,1.019521135726235,4.0,1.0,3.0,422,1074,0.1168007867323661
num_joins,1.5179042784728063,1.019521135726235,2.0,0.0,2.0,422,1074,0.1168007867323661
num_nested_loop,1.5179042784728063,1.019521135726235,1.0,0.0,1.0,422,1074,0.1168007867323661
num_nodes,1.5179042784728063,1.019521135726235,7.0,1.0,6.0,422,1074,0.1168007867323661
num_tables,1.5179042784728063,1.019521135726235,3.0,1.0,2.0,422,1074,0.1168007867323661
join_tree_diameter,1.5179042784728063,1.0152615893846024,1.0,0.0,1.0,422,2695,0.11679903700159756
longest_path_len,1.5179042784728063,1.0152615893846024,5.0,1.0,4.0,422,2695,0.11679903700159756
max_log_card_error,1.5179042784728063,1.0152615893846024,1.6567419257551013,1.4195360815705271e-06,1.6567405062190197,422,2695,0.11679903700159756
num_columns,1.5179042784728063,1.0152615893846024,24.0,3.0,21.0,422,2695,0.11679903700159756
num_filters,1.5179042784728063,1.0152615893846024,4.0,1.0,3.0,422,2695,0.11679903700159756
num_joins,1.5179042784728063,1.0152615893846024,2.0,0.0,2.0,422,2695,0.11679903700159756
num_nested_loop,1.5179042784728063,1.0152615893846024,1.0,0.0,1.0,422,2695,0.11679903700159756
num_nodes,1.5179042784728063,1.0152615893846024,7.0,1.0,6.0,422,2695,0.11679903700159756
num_tables,1.5179042784728063,1.0152615893846024,3.0,1.0,2.0,422,2695,0.11679903700159756
join_tree_diameter,1.5179042784728063,1.019732855058377,1.0,0.0,1.0,422,2818,0.11680012120724309
longest_path_len,1.5179042784728063,1.019732855058377,5.0,1.0,4.0,422,2818,0.11680012120724309
max_log_card_error,1.5179042784728063,1.019732855058377,1.6567419257551013,1.758577662336336e-05,1.656724339978478,422,2818,0.11680012120724309
num_columns,1.5179042784728063,1.019732855058377,24.0,3.0,21.0,422,2818,0.11680012120724309
num_filters,1.5179042784728063,1.019732855058377,4.0,1.0,3.0,422,2818,0.11680012120724309
num_joins,1.5179042784728063,1.019732855058377,2.0,0.0,2.0,422,2818,0.11680012120724309
num_nested_loop,1.5179042784728063,1.019732855058377,1.0,0.0,1.0,422,2818,0.11680012120724309
num_nodes,1.5179042784728063,1.019732855058377,7.0,1.0,6.0,422,2818,0.11680012120724309
num_tables,1.5179042784728063,1.019732855058377,3.0,1.0,2.0,422,2818,0.11680012120724309
join_tree_diameter,1.5179042784728063,1.0105430058783107,1.0,0.0,1.0,422,4361,0.11680050327979798
longest_path_len,1.5179042784728063,1.0105430058783107,5.0,1.0,4.0,422,4361,0.11680050327979798
max_log_card_error,1.5179042784728063,1.0105430058783107,1.6567419257551013,2.3282737206642423e-05,1.6567186430178946,422,4361,0.11680050327979798
num_columns,1.5179042784728063,1.0105430058783107,24.0,3.0,21.0,422,4361,0.11680050327979798
num_filters,1.5179042784728063,1.0105430058783107,4.0,1.0,3.0,422,4361,0.11680050327979798
num_joins,1.5179042784728063,1.0105430058783107,2.0,0.0,2.0,422,4361,0.11680050327979798
num_nested_loop,1.5179042784728063,1.0105430058783107,1.0,0.0,1.0,422,4361,0.11680050327979798
num_nodes,1.5179042784728063,1.0105430058783107,7.0,1.0,6.0,422,4361,0.11680050327979798
num_tables,1.5179042784728063,1.0105430058783107,3.0,1.0,2.0,422,4361,0.11680050327979798
join_tree_diameter,1.5179042784728063,1.0113196236558444,1.0,0.0,1.0,422,4792,0.11679929954551443
longest_path_len,1.5179042784728063,1.0113196236558444,5.0,1.0,4.0,422,4792,0.11679929954551443
max_log_card_error,1.5179042784728063,1.0113196236558444,1.6567419257551013,5.334243711629938e-06,1.6567365915113896,422,4792,0.11679929954551443
num_columns,1.5179042784728063,1.0113196236558444,24.0,3.0,21.0,422,4792,0.11679929954551443
num_filters,1.5179042784728063,1.0113196236558444,4.0,1.0,3.0,422,4792,0.11679929954551443
num_joins,1.5179042784728063,1.0113196236558444,2.0,0.0,2.0,422,4792,0.11679929954551443
num_nested_loop,1.5179042784728063,1.0113196236558444,1.0,0.0,1.0,422,4792,0.11679929954551443
num_nodes,1.5179042784728063,1.0113196236558444,7.0,1.0,6.0,422,4792,0.11679929954551443
