metric,job,stats,syn,sum
num_tables,0,0,0,0
num_columns,1,0,2,3
num_joins,0,0,0,0
num_filters,2,0,0,2
longest_path_len,0,0,0,0
num_nodes,0,0,0,0
join_tree_diameter,0,0,0,0
num_blocking_ops,0,0,0,0
num_nested_loop,0,0,0,0
max_est_join_input_rows,0,0,3,3
sum_est_join_input_rows,0,0,-3,-3
num_highly_selective_filters,0,0,0,0
log_filter_selectivity_product,0,0,-2,-2
optimizer_est_cost_root,0,0,3,3
log_max_est_rows,0,0,0,0
log_sum_est_rows,0,0,0,0
max_log_card_error,2,0,2,4
plan_string_length,0,0,0,0
