metric,job,stats,syn,sum
num_tables,-1,3,-1,1
num_columns,1,3,3,7
num_joins,-1,3,-1,1
num_filters,3,1,3,7
longest_path_len,-3,1,-1,-3
num_nodes,1,1,-1,1
join_tree_diameter,0,0,-3,-3
num_blocking_ops,-1,1,-3,-3
num_nested_loop,-1,3,-3,-1
max_est_join_input_rows,3,1,3,7
sum_est_join_input_rows,-3,1,-3,-5
num_highly_selective_filters,-1,3,-3,-1
log_filter_selectivity_product,1,-1,-3,-3
optimizer_est_cost_root,1,-1,3,3
log_max_est_rows,-1,1,-1,-1
log_sum_est_rows,1,-1,-1,-1
max_log_card_error,3,3,3,9
plan_string_length,-1,1,1,1
