metric,job,job_full,stats,syn,tpcds,tpch,sum
num_tables,-1,-1,1,-1,1,0,-1
num_columns,1,1,1,-1,-1,0,1
num_joins,-1,1,1,-1,-1,0,-1
num_filters,-1,1,-1,1,-1,0,-1
longest_path_len,-1,-1,1,-1,1,0,-1
num_nodes,1,-1,-1,1,-1,0,-1
join_tree_diameter,0,0,0,-1,1,0,0
num_blocking_ops,-1,1,1,-1,1,0,1
num_nested_loop,1,-1,-1,1,1,0,1
max_est_join_input_rows,-1,-1,1,-1,-1,0,-3
sum_est_join_input_rows,-1,1,-1,1,1,0,1
num_highly_selective_filters,-1,-1,-1,1,-1,0,-3
log_filter_selectivity_product,1,1,-1,1,-1,0,1
optimizer_est_cost_root,1,-1,1,1,1,0,3
log_max_est_rows,1,1,1,1,1,0,5
log_sum_est_rows,-1,-1,-1,-1,-1,0,-5
max_log_card_error,1,-1,1,1,1,0,3
plan_string_length,-1,1,1,1,1,-1,2
