metric,job,job_full,stats,syn,tpcds,tpch,sum
num_tables,0,0,0,0,0,0,0
num_columns,0,0,0,0,0,0,0
num_joins,0,0,0,0,0,0,0
num_filters,0,0,0,0,0,0,0
longest_path_len,0,0,0,0,0,0,0
num_nodes,0,0,0,0,0,0,0
join_tree_diameter,0,0,0,0,0,0,0
num_blocking_ops,0,0,0,0,0,0,0
num_nested_loop,0,0,0,0,0,0,0
max_est_join_input_rows,0,0,0,0,0,0,0
sum_est_join_input_rows,0,0,0,0,0,0,0
num_highly_selective_filters,0,0,0,0,0,0,0
log_filter_selectivity_product,0,0,0,0,0,0,0
optimizer_est_cost_root,0,0,0,0,0,0,0
log_max_est_rows,0,0,0,0,0,0,0
log_sum_est_rows,0,0,0,0,0,0,0
max_log_card_error,0,0,0,0,0,0,0
plan_string_length,0,0,0,0,0,0,0
