metric,job,stats,syn,sum
num_tables,1,3,1,5
num_columns,3,3,-1,5
num_joins,1,3,1,5
num_filters,3,3,3,9
longest_path_len,1,3,3,7
num_nodes,3,3,3,9
join_tree_diameter,3,-3,0,0
num_blocking_ops,-1,3,-3,-1
num_nested_loop,3,3,3,9
max_est_join_input_rows,-3,-1,-3,-7
sum_est_join_input_rows,-3,0,-3,-6
num_highly_selective_filters,3,3,3,9
log_filter_selectivity_product,-3,-3,-3,-9
optimizer_est_cost_root,-3,-1,-3,-7
log_max_est_rows,-3,2,-3,-4
log_sum_est_rows,-3,1,-3,-5
max_log_card_error,3,3,3,9
plan_string_length,3,3,3,9
