metric,job,job_full,stats,syn,tpcds,tpch,sum
num_tables,3,3,3,3,3,-3,12
num_columns,3,1,3,3,1,-3,8
num_joins,3,2,3,3,3,-3,11
num_filters,3,3,3,3,3,-3,12
longest_path_len,3,3,3,3,3,-3,12
num_nodes,3,1,3,3,-1,-3,6
join_tree_diameter,3,3,3,3,1,-3,10
num_blocking_ops,3,3,3,2,-3,-3,5
num_nested_loop,3,3,3,3,2,-3,11
max_est_join_input_rows,3,-2,-3,3,1,-3,-1
sum_est_join_input_rows,3,-2,-3,3,1,-3,-1
num_highly_selective_filters,0,1,3,-2,2,-3,1
log_filter_selectivity_product,-3,-2,-2,-3,-3,-3,-16
optimizer_est_cost_root,3,1,-2,3,-3,-3,-1
log_max_est_rows,3,-2,1,3,-1,-3,1
log_sum_est_rows,3,-1,0,3,-3,-3,-1
max_log_card_error,3,-1,3,3,2,-3,7
plan_string_length,3,2,3,3,-3,-3,5
