metric,job,job_full,stats,syn,tpcds,tpch,sum
num_tables,1,0,1,-1,-1,-1,-1
num_columns,1,-1,1,-1,-1,-1,-2
num_joins,1,0,1,-1,-1,-1,-1
num_filters,1,1,1,-1,1,-1,2
longest_path_len,1,0,1,-1,0,-1,0
num_nodes,1,-1,1,-1,1,-1,0
join_tree_diameter,1,0,1,-1,-1,-1,-1
num_blocking_ops,1,-1,1,-1,0,-1,-1
num_nested_loop,1,-1,1,-1,-1,-1,-2
max_est_join_input_rows,1,-1,0,-1,1,-1,-1
sum_est_join_input_rows,0,-1,-1,-1,1,-1,-3
num_highly_selective_filters,1,-1,1,-1,-1,-1,-2
log_filter_selectivity_product,-1,1,-1,1,1,-1,0
optimizer_est_cost_root,0,-1,0,1,1,-1,0
log_max_est_rows,-1,-1,1,1,1,-1,0
log_sum_est_rows,0,-1,1,1,1,-1,1
max_log_card_error,1,-1,1,-1,1,-1,0
