metric,job,job_full,stats,syn,tpcds,tpch,sum
num_tables,1,-1,1,1,1,1,4
num_columns,1,0,1,1,1,1,5
num_joins,1,1,1,1,1,1,6
num_filters,1,1,1,0,1,1,5
longest_path_len,1,0,1,1,1,1,5
num_nodes,1,1,1,1,1,1,6
join_tree_diameter,1,1,1,1,-1,1,4
num_blocking_ops,1,0,1,1,-1,1,3
num_nested_loop,1,1,1,-1,1,1,4
max_est_join_input_rows,1,-1,1,1,0,1,3
sum_est_join_input_rows,1,-1,1,1,0,1,3
num_highly_selective_filters,-1,1,1,-1,1,1,2
log_filter_selectivity_product,1,1,1,1,-1,1,4
optimizer_est_cost_root,1,-1,1,1,-1,1,2
log_max_est_rows,1,-1,1,1,-1,1,2
log_sum_est_rows,1,-1,1,1,-1,1,2
max_log_card_error,1,-1,1,1,1,1,4
