metric,error,true_label,embedding,type_number
num_tables,0.8279,0.3250***,-0.0652,4
num_columns,0.508,0.3679***,-0.0957**,4
num_joins,0.2942,0.7482***,0.4720***,3
num_filters,0.0972,-0.3352***,-0.5500***,6
longest_path_len,0.2951,0.1300***,-0.3326***,4
num_nodes,-1.4274,0.2821***,-0.1749***,4
join_tree_diameter,0.1021,0.6008***,0.1790***,3
num_blocking_ops,0.1984,0.4185***,0.3856***,3
num_nested_loop,0.3865,-0.4349***,-0.5850***,6
max_est_join_input_rows,2.2598,0.7583***,0.6703***,3
sum_est_join_input_rows,-2.545,0.7984***,0.7025***,3
num_highly_selective_filters,-0.1673,-0.6167***,-0.1924***,6
log_filter_selectivity_product,-0.1411,0.6043***,0.6022***,3
optimizer_est_cost_root,0.2171,0.8869***,0.4325***,3
log_max_est_rows,-1.4419,0.8839***,0.5920***,3
log_sum_est_rows,0.344,0.8974***,0.6393***,3
max_log_card_error,1.1498***,0.1928***,-0.0036,1
