metric,error,true_label,embedding,type_number
num_tables,-3.6448,0.3250***,0.3473***,3
num_columns,16.8567**,0.3679***,0.3036***,3
num_joins,10.3353,0.7482***,-0.1342***,4
num_filters,10.3682***,-0.3352***,0.2568***,7
longest_path_len,-14.928,0.1300***,0.0862*,4
num_nodes,-1.9554,0.2821***,0.2028***,3
join_tree_diameter,-9.7291***,0.6008***,-0.0551,1
num_blocking_ops,4.1378,0.4185***,0.0501,4
num_nested_loop,-11.8595**,-0.4349***,0.3149***,5
max_est_join_input_rows,72.3835***,0.7583***,-0.1243***,1
sum_est_join_input_rows,-91.762***,0.7984***,-0.1219***,1
num_highly_selective_filters,17.7641**,-0.6167***,0.2043***,5
log_filter_selectivity_product,12.3516**,0.6043***,-0.2675***,4
optimizer_est_cost_root,-0.1507,0.8869***,-0.2060***,4
log_max_est_rows,-30.6046,0.8839***,-0.1776***,4
log_sum_est_rows,54.8581*,0.8974***,-0.1730***,4
max_log_card_error,55.6858***,0.1928***,0.4427***,2
