metric,error,true_label,embedding,type_number
num_tables,-96.898*,0.3250***,-0.0330,4
num_columns,39.4494,0.3679***,-0.0248,4
num_joins,-86.1019**,0.7482***,-0.4947***,4
num_filters,-35.9346***,-0.3352***,-0.0839*,8
longest_path_len,-49.1121,0.1300***,-0.4626***,4
num_nodes,175.3484,0.2821***,-0.3062***,4
join_tree_diameter,-5.9875,0.6008***,-0.3978***,4
num_blocking_ops,-14.0291,0.4185***,0.1977***,3
num_nested_loop,-0.1134,-0.4349***,0.4598***,5
max_est_join_input_rows,-337.7321***,0.7583***,-0.2514***,1
sum_est_join_input_rows,459.9165***,0.7984***,-0.2628***,1
num_highly_selective_filters,-137.5872***,-0.6167***,0.4005***,7
log_filter_selectivity_product,-102.9438***,0.6043***,-0.1902***,1
optimizer_est_cost_root,-5.0339,0.8869***,-0.2182***,4
log_max_est_rows,243.2205*,0.8839***,-0.1704***,4
log_sum_est_rows,-324.7357**,0.8974***,-0.2043***,4
max_log_card_error,-36.6869**,0.1928***,0.0506,4
