metric,error,true_label,embedding,type_number
num_tables,-1.1844,0.3250***,0.1684***,3
num_columns,2.1243*,0.3679***,0.1886***,3
num_joins,-0.0232,0.7482***,0.2988***,3
num_filters,0.2848,-0.3352***,-0.2676***,6
longest_path_len,0.5617,0.1300***,-0.1214***,4
num_nodes,-1.8972,0.2821***,0.0305,4
join_tree_diameter,-0.2961,0.6008***,0.1053**,4
num_blocking_ops,0.3573,0.4185***,0.3168***,3
num_nested_loop,-0.9003,-0.4349***,-0.1440***,6
max_est_join_input_rows,2.0613,0.7583***,0.3701***,3
sum_est_join_input_rows,-3.3233,0.7984***,0.4100***,3
num_highly_selective_filters,0.2823,-0.6167***,0.0054,6
log_filter_selectivity_product,0.5042,0.6043***,0.2000***,3
optimizer_est_cost_root,0.8212,0.8869***,0.3860***,3
log_max_est_rows,-1.0942,0.8839***,0.4147***,3
log_sum_est_rows,0.8544,0.8974***,0.4263***,3
max_log_card_error,3.3324***,0.1928***,0.2999***,2
