metric,error,true_label,embedding,type_number
num_tables,1.3064,0.3250***,0.1684***,3
num_columns,0.8162,0.3679***,0.1886***,3
num_joins,2.2761,0.7482***,0.2988***,3
num_filters,0.9768,-0.3352***,-0.2676***,6
longest_path_len,0.5235,0.1300***,-0.1214***,4
num_nodes,-3.6374,0.2821***,0.0305,4
join_tree_diameter,-1.1534*,0.6008***,0.1053**,4
num_blocking_ops,0.4301,0.4185***,0.3168***,3
num_nested_loop,-0.9725,-0.4349***,-0.1440***,6
max_est_join_input_rows,6.0202,0.7583***,0.3701***,3
sum_est_join_input_rows,-8.3473*,0.7984***,0.4100***,3
num_highly_selective_filters,0.6672,-0.6167***,0.0054,6
log_filter_selectivity_product,0.096,0.6043***,0.2000***,3
optimizer_est_cost_root,1.0124,0.8869***,0.3860***,3
log_max_est_rows,-1.8199,0.8839***,0.4147***,3
log_sum_est_rows,1.458,0.8974***,0.4263***,3
max_log_card_error,3.516***,0.1928***,0.2999***,2
