metric,error,true_label,embedding,type_number
num_tables,-1.7869,0.3250***,0.1555***,3
num_columns,1.6112,0.3679***,0.1767***,3
num_joins,0.4524,0.7482***,0.2670***,3
num_filters,0.3698,-0.3352***,-0.2556***,6
longest_path_len,-6.2486,0.1300***,-0.1490***,4
num_nodes,6.3669,0.2821***,0.0073,4
join_tree_diameter,-0.0293,0.6008***,0.0706,4
num_blocking_ops,0.7199,0.4185***,0.3190***,3
num_nested_loop,-1.7839*,-0.4349***,-0.1277***,6
max_est_join_input_rows,6.1451*,0.7583***,0.3505***,3
sum_est_join_input_rows,-7.6507*,0.7984***,0.3889***,3
num_highly_selective_filters,0.6228,-0.6167***,0.0510,6
log_filter_selectivity_product,0.7449,0.6043***,0.1730***,3
optimizer_est_cost_root,-0.8756,0.8869***,0.3615***,3
log_max_est_rows,9.6218*,0.8839***,0.3915***,3
log_sum_est_rows,-9.6082*,0.8974***,0.4025***,3
max_log_card_error,4.3082***,0.1928***,0.2962***,2
