metric,error,true_label,embedding,type_number
num_tables,2.0811,0.3250***,0.1663***,3
num_columns,-0.0476,0.3679***,0.1875***,3
num_joins,1.9354*,0.7482***,0.2881***,3
num_filters,-0.0768,-0.3352***,-0.2627***,6
longest_path_len,-2.3654,0.1300***,-0.1295***,4
num_nodes,-0.6502,0.2821***,0.0241,4
join_tree_diameter,0.2099,0.6008***,0.0941**,4
num_blocking_ops,0.6662,0.4185***,0.3160***,3
num_nested_loop,-0.0729,-0.4349***,-0.1374***,6
max_est_join_input_rows,6.9151***,0.7583***,0.3644***,2
sum_est_join_input_rows,-9.0023***,0.7984***,0.4037***,2
num_highly_selective_filters,-0.5581,-0.6167***,0.0206,6
log_filter_selectivity_product,0.2722,0.6043***,0.1915***,3
optimizer_est_cost_root,0.2822,0.8869***,0.3800***,3
log_max_est_rows,2.7282,0.8839***,0.4090***,3
log_sum_est_rows,-3.9901,0.8974***,0.4200***,3
max_log_card_error,2.0138***,0.1928***,0.3001***,2
