metric,error,true_label,embedding,type_number
num_tables,0.4461,0.3250***,0.1686***,3
num_columns,-0.5809,0.3679***,0.1884***,3
num_joins,0.876,0.7482***,0.3000***,3
num_filters,0.4938,-0.3352***,-0.2666***,6
longest_path_len,-4.3913,0.1300***,-0.1179**,4
num_nodes,3.6512,0.2821***,0.0327,4
join_tree_diameter,-0.1039,0.6008***,0.1063**,4
num_blocking_ops,0.3813,0.4185***,0.3148***,3
num_nested_loop,-0.4183,-0.4349***,-0.1448***,6
max_est_join_input_rows,5.9961*,0.7583***,0.3690***,3
sum_est_join_input_rows,-7.8864*,0.7984***,0.4091***,3
num_highly_selective_filters,-0.4126,-0.6167***,0.0036,6
log_filter_selectivity_product,0.0856,0.6043***,0.1999***,3
optimizer_est_cost_root,0.3505,0.8869***,0.3864***,3
log_max_est_rows,4.9608,0.8839***,0.4144***,3
log_sum_est_rows,-4.7782,0.8974***,0.4260***,3
max_log_card_error,3.8608***,0.1928***,0.3006***,2
