metric,error,true_label,embedding,type_number
num_tables,320.4736,0.3250***,-0.3220***,4
num_columns,598.9078,0.3679***,-0.3445***,4
num_joins,428.2079,0.7482***,-0.5513***,4
num_filters,920.7091***,-0.3352***,-0.1571***,8
longest_path_len,416.7995,0.1300***,-0.5510***,4
num_nodes,-1493.7717,0.2821***,-0.5231***,4
join_tree_diameter,-169.341,0.6008***,-0.5594***,4
num_blocking_ops,-482.5481,0.4185***,-0.1131**,4
num_nested_loop,-124.9023,-0.4349***,0.2012***,5
max_est_join_input_rows,-2109.2488**,0.7583***,-0.2430***,4
sum_est_join_input_rows,811.0405,0.7984***,-0.2815***,4
num_highly_selective_filters,1253.8635***,-0.6167***,0.4941***,7
log_filter_selectivity_product,941.4304***,0.6043***,-0.0384,1
optimizer_est_cost_root,2200.2939***,0.8869***,-0.4073***,1
log_max_est_rows,530.5658,0.8839***,-0.2363***,4
log_sum_est_rows,-334.3552,0.8974***,-0.2772***,4
max_log_card_error,166.2058,0.1928***,-0.0519,4
