metric,error,true_label,embedding,type_number
num_tables,34.411,0.2082,-0.4064***,6
num_columns,-5.2806,0.2649*,-0.3856**,6
num_joins,12.474,0.7367***,0.5509***,3
num_filters,-3.5715,-0.2384*,-0.5676***,6
longest_path_len,48.359,0.1623,-0.3540**,6
num_nodes,-66.6447,0.2087,-0.3751**,6
join_tree_diameter,-22.9316**,0.7444***,0.2681*,4
num_blocking_ops,8.8463,0.3052*,0.2678*,6
num_nested_loop,13.4091,-0.3961***,-0.6902***,6
max_est_join_input_rows,49.906,0.7859***,0.6200***,3
sum_est_join_input_rows,-47.8508,0.7969***,0.6258***,3
num_highly_selective_filters,-25.0596,-0.6924***,-0.2598*,6
log_filter_selectivity_product,-19.8347,0.6851***,0.6562***,3
optimizer_est_cost_root,-5.3804,0.8709***,0.5987***,3
log_max_est_rows,-135.149*,0.8622***,0.6324***,3
log_sum_est_rows,145.3867*,0.8677***,0.6399***,3
max_log_card_error,7.3057,0.1789,-0.1809,6
