metric,error,true_label,embedding,type_number
num_tables,-6.8078,0.2082,0.5461***,5
num_columns,3.3406,0.2649*,0.5248***,5
num_joins,-0.185,0.7367***,0.1500,4
num_filters,1.0258,-0.2384*,0.1690,6
longest_path_len,-20.4684,0.1623,0.2658*,6
num_nodes,23.2366,0.2087,0.4092***,5
join_tree_diameter,5.3948,0.7444***,0.1992,4
num_blocking_ops,-2.8782,0.3052*,0.1339,6
num_nested_loop,-4.3876,-0.3961***,0.2266,6
max_est_join_input_rows,2.6163,0.7859***,0.1653,4
sum_est_join_input_rows,-6.6651,0.7969***,0.1909,4
num_highly_selective_filters,3.8894,-0.6924***,-0.1870,6
log_filter_selectivity_product,3.5665,0.6851***,0.0241,4
optimizer_est_cost_root,2.2599,0.8709***,0.2769*,4
log_max_est_rows,16.1254,0.8622***,0.2498*,4
log_sum_est_rows,-18.5618,0.8677***,0.2483*,4
max_log_card_error,6.0615*,0.1789,0.5744***,5
