metric,error,true_label,embedding,type_number
num_tables,-17.8004,0.2082,-0.4991***,6
num_columns,5.6642,0.2649*,-0.4392***,6
num_joins,-10.3256,0.7367***,-0.3805**,4
num_filters,-2.8595,-0.2384*,-0.3740**,6
longest_path_len,-37.283,0.1623,-0.5234***,6
num_nodes,54.4638,0.2087,-0.5377***,6
join_tree_diameter,13.555,0.7444***,-0.5511***,4
num_blocking_ops,-9.4925,0.3052*,0.0156,6
num_nested_loop,-3.9932,-0.3961***,-0.0760,6
max_est_join_input_rows,-44.2053,0.7859***,-0.3105**,4
sum_est_join_input_rows,49.7133,0.7969***,-0.2998*,4
num_highly_selective_filters,-1.6176,-0.6924***,0.4717***,5
log_filter_selectivity_product,3.3069,0.6851***,-0.1254,4
optimizer_est_cost_root,1.7576,0.8709***,-0.1201,4
log_max_est_rows,111.6572*,0.8622***,-0.1327,4
log_sum_est_rows,-117.3131*,0.8677***,-0.1882,4
max_log_card_error,4.2315,0.1789,-0.3699**,6
