metric,error,true_label,embedding,type_number
num_tables,-0.1711,0.2082,-0.0690,6
num_columns,-0.1822,0.2649*,-0.0142,6
num_joins,0.1989,0.7367***,0.2915*,4
num_filters,-0.6284,-0.2384*,-0.2883*,6
longest_path_len,-2.4064,0.1623,-0.1233,6
num_nodes,3.1661,0.2087,-0.0993,6
join_tree_diameter,0.0614,0.7444***,0.2427*,4
num_blocking_ops,-0.7001,0.3052*,0.1993,6
num_nested_loop,-0.265,-0.3961***,-0.2608*,6
max_est_join_input_rows,-0.3921,0.7859***,0.3221**,4
sum_est_join_input_rows,-0.4792,0.7969***,0.3412**,4
num_highly_selective_filters,-0.6326,-0.6924***,-0.1321,6
log_filter_selectivity_product,-0.2867,0.6851***,0.2085,4
optimizer_est_cost_root,1.1687,0.8709***,0.2734*,4
log_max_est_rows,2.1168,0.8622***,0.2852*,4
log_sum_est_rows,-2.9076,0.8677***,0.2895*,4
max_log_card_error,0.9111,0.1789,0.1529,6
