metric,error,true_label,embedding,type_number
num_tables,-5.5643,0.2082,-0.0864,6
num_columns,0.4709,0.2649*,-0.0308,6
num_joins,-2.1683,0.7367***,0.2936*,4
num_filters,-0.9176,-0.2384*,-0.2985*,6
longest_path_len,-11.6541,0.1623,-0.1418,6
num_nodes,17.6085,0.2087,-0.1189,6
join_tree_diameter,2.23,0.7444***,0.2396*,4
num_blocking_ops,-1.4309,0.3052*,0.1962,6
num_nested_loop,-2.0534,-0.3961***,-0.2737*,6
max_est_join_input_rows,-0.9719,0.7859***,0.3289**,4
sum_est_join_input_rows,0.8755,0.7969***,0.3468**,4
num_highly_selective_filters,-1.5521,-0.6924***,-0.1321,6
log_filter_selectivity_product,-0.789,0.6851***,0.2175,4
optimizer_est_cost_root,0.1374,0.8709***,0.2773*,4
log_max_est_rows,21.249*,0.8622***,0.2914*,4
log_sum_est_rows,-22.4243*,0.8677***,0.2959*,4
max_log_card_error,1.7831,0.1789,0.1404,6
