metric,error,true_label,embedding,type_number
num_tables,-3.9351,0.2082,-0.0778,6
num_columns,0.2035,0.2649*,-0.0214,6
num_joins,-1.0673,0.7367***,0.2927*,4
num_filters,0.3738,-0.2384*,-0.2929*,6
longest_path_len,-11.1507,0.1623,-0.1327,6
num_nodes,14.1327,0.2087,-0.1091,6
join_tree_diameter,2.6524,0.7444***,0.2427*,4
num_blocking_ops,-1.5337,0.3052*,0.1993,6
num_nested_loop,-1.8064,-0.3961***,-0.2676*,6
max_est_join_input_rows,3.401,0.7859***,0.3269**,4
sum_est_join_input_rows,-5.143,0.7969***,0.3455**,4
num_highly_selective_filters,-0.112,-0.6924***,-0.1316,6
log_filter_selectivity_product,0.7213,0.6851***,0.2127,4
optimizer_est_cost_root,0.8029,0.8709***,0.2769*,4
log_max_est_rows,19.2656,0.8622***,0.2897*,4
log_sum_est_rows,-19.8752,0.8677***,0.2938*,4
max_log_card_error,3.856**,0.1789,0.1455,6
