metric,error,true_label,embedding,type_number
num_tables,-3.1224,0.2082,-0.0690,6
num_columns,0.4697,0.2649*,-0.0128,6
num_joins,-0.8387,0.7367***,0.2946*,4
num_filters,-0.0134,-0.2384*,-0.2895*,6
longest_path_len,-7.2905,0.1623,-0.1168,6
num_nodes,9.4479,0.2087,-0.0942,6
join_tree_diameter,1.6801,0.7444***,0.2427*,4
num_blocking_ops,-1.1679,0.3052*,0.2024,6
num_nested_loop,-1.4396,-0.3961***,-0.2639*,6
max_est_join_input_rows,0.576,0.7859***,0.3213**,4
sum_est_join_input_rows,-1.4848,0.7969***,0.3406**,4
num_highly_selective_filters,0.3434,-0.6924***,-0.1330,6
log_filter_selectivity_product,0.8459,0.6851***,0.2097,4
optimizer_est_cost_root,0.2613,0.8709***,0.2734*,4
log_max_est_rows,15.0674,0.8622***,0.2852*,4
log_sum_est_rows,-15.3589,0.8677***,0.2895*,4
max_log_card_error,3.0404**,0.1789,0.1538,6
