metric,error,true_label,embedding,type_number
num_tables,5.2044,0.2082,-0.5589***,6
num_columns,1.6941,0.2649*,-0.5176***,6
num_joins,3.8329,0.7367***,-0.1862,4
num_filters,1.5452,-0.2384*,-0.4587***,6
longest_path_len,-0.3328,0.1623,-0.4465***,6
num_nodes,-10.6193,0.2087,-0.4970***,6
join_tree_diameter,0.2566,0.7444***,-0.3144**,4
num_blocking_ops,-1.0686,0.3052*,0.1526,6
num_nested_loop,0.549,-0.3961***,-0.2817*,6
max_est_join_input_rows,40.1618,0.7859***,-0.0865,4
sum_est_join_input_rows,-32.2731,0.7969***,-0.0898,4
num_highly_selective_filters,2.7441,-0.6924***,0.2423*,6
log_filter_selectivity_product,1.8336,0.6851***,0.1010,4
optimizer_est_cost_root,3.0161,0.8709***,0.0643,4
log_max_est_rows,9.7611,0.8622***,0.0524,4
log_sum_est_rows,-7.9876,0.8677***,0.0321,4
max_log_card_error,2.3923,0.1789,-0.3467**,6
