algo_model,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,true_label_vs_embedding_spearman,est_label_vs_embedding_spearman
aimai_none,0,0,7,1,0,9,0,0,0.4471***,-0.1890
bao_none,0,0,0,8,4,5,0,0,0.5091***,0.3622**
e2e_cost_none,0,0,0,8,1,8,0,0,-0.3580**,0.0191
llm_Qwen-Qwen3-Embedding-0.6B,0,0,0,8,0,9,0,0,0.3555**,0.2866*
llm_Qwen-Qwen3-Embedding-4B,0,0,0,8,0,9,0,0,0.3555**,0.3541**
llm_Qwen-Qwen3-Embedding-8B,0,0,0,8,0,9,0,0,0.3555**,0.2881*
llm_answerdotai-ModernBERT-base,0,0,0,8,0,9,0,0,0.3547**,0.2694*
llm_bert-base-uncased,0,0,0,8,0,9,0,0,0.3576**,0.2698*
llm_google-gemma-3-12b-pt,0,0,0,8,0,9,0,0,0.3569**,0.3085**
llm_google-gemma-3-1b-pt,0,0,0,8,0,9,0,0,0.3569**,0.2991*
llm_google-gemma-3-4b-pt,0,0,0,8,0,9,0,0,0.3569**,0.2805*
llm_meta-llama-Llama-3.1-8B,0,0,0,8,0,9,0,0,0.3533**,0.3569**
llm_meta-llama-Llama-3.2-1B,0,0,0,8,0,9,0,0,0.3533**,0.2702*
llm_meta-llama-Llama-3.2-3B,0,0,0,8,0,9,0,0,0.3533**,0.2892*
llm_sentence-transformers-all-MiniLM-L6-v2,0,0,0,8,0,9,0,0,0.3576**,0.3131**
qf_none,0,0,0,8,0,9,0,0,-0.0962,-0.1450
