metric,error,true_label,embedding,type_number
num_tables,-319.2933,0.2871**,-0.0914,6
num_columns,-379.1777,0.4069***,0.0087,4
num_joins,-414.5797,0.3060***,0.3329***,3
num_filters,485.5463,0.0176,-0.1978*,6
longest_path_len,332.1133,0.2631**,-0.0733,6
num_nodes,1415.8724,0.2614**,-0.0490,6
join_tree_diameter,87.6347,0.2202*,0.3037**,6
num_blocking_ops,115.8503,-0.1523,-0.0096,6
num_nested_loop,-905.5887,0.1608,-0.3532***,6
max_est_join_input_rows,-311.5941,0.2704**,-0.0354,6
sum_est_join_input_rows,709.7845,0.3250***,0.0286,4
num_highly_selective_filters,-1286.6255**,0.1322,-0.4599***,6
log_filter_selectivity_product,-673.7602,-0.0551,0.4139***,5
optimizer_est_cost_root,-564.6131,0.4292***,0.2282*,4
log_max_est_rows,2195.6787,0.1989*,0.0251,6
log_sum_est_rows,-2544.8611,0.2467**,0.0951,6
max_log_card_error,-302.5008,0.4461***,-0.1031,4
