metric,error,true_label,embedding,type_number
num_tables,-40.9555,0.2871**,0.3575***,5
num_columns,-98.0053*,0.4069***,0.4881***,3
num_joins,99.1462,0.3060***,0.5367***,3
num_filters,43.6544,0.0176,0.2782**,6
longest_path_len,40.3388,0.2631**,0.4034***,5
num_nodes,-117.9929,0.2614**,0.4192***,5
join_tree_diameter,23.7904,0.2202*,0.4494***,5
num_blocking_ops,-24.8608,-0.1523,0.2596**,6
num_nested_loop,128.0402,0.1608,0.1706,6
max_est_join_input_rows,102.6044,0.2704**,-0.0560,6
sum_est_join_input_rows,-210.6573,0.3250***,0.0229,4
num_highly_selective_filters,-98.0031,0.1322,-0.0505,6
log_filter_selectivity_product,-64.0277,-0.0551,-0.0437,6
optimizer_est_cost_root,81.5916,0.4292***,0.1827,4
log_max_est_rows,-309.9976,0.1989*,0.0311,6
log_sum_est_rows,308.3693,0.2467**,0.1093,6
max_log_card_error,-8.365,0.4461***,-0.0105,4
