metric,error,true_label,embedding,type_number
num_tables,-0.3496,0.2871**,0.0105,6
num_columns,-2.7112,0.4069***,-0.0905,4
num_joins,12.571,0.3060***,0.1147,4
num_filters,-4.4767,0.0176,0.1328,6
longest_path_len,-8.0914,0.2631**,0.0707,6
num_nodes,-8.6701,0.2614**,0.1113,6
join_tree_diameter,2.0719,0.2202*,0.0114,6
num_blocking_ops,2.1197,-0.1523,0.2192*,6
num_nested_loop,21.2569,0.1608,0.0267,6
max_est_join_input_rows,6.965,0.2704**,0.0177,6
sum_est_join_input_rows,-2.5039,0.3250***,-0.0028,4
num_highly_selective_filters,-2.7775,0.1322,0.0775,6
log_filter_selectivity_product,-3.4547,-0.0551,-0.0040,6
optimizer_est_cost_root,-2.9213,0.4292***,-0.2378*,4
log_max_est_rows,9.0176,0.1989*,0.0281,6
log_sum_est_rows,-16.1093,0.2467**,0.0044,6
max_log_card_error,-5.0475**,0.4461***,0.0846,4
