metric,error,true_label,embedding,type_number
num_tables,-1.222,0.2871**,-0.1612,6
num_columns,0.9919,0.4069***,0.0010,4
num_joins,5.7999,0.3060***,-0.0110,4
num_filters,-0.0151,0.0176,-0.2605**,6
longest_path_len,-5.9033,0.2631**,-0.1389,6
num_nodes,-2.0137,0.2614**,-0.1532,6
join_tree_diameter,-0.1624,0.2202*,0.0027,6
num_blocking_ops,1.2812,-0.1523,-0.0972,6
num_nested_loop,7.8622,0.1608,-0.1721,6
max_est_join_input_rows,5.8916,0.2704**,0.2905**,6
sum_est_join_input_rows,-5.4466,0.3250***,0.2937**,4
num_highly_selective_filters,-2.9708,0.1322,-0.2049*,6
log_filter_selectivity_product,-1.8521,-0.0551,0.3060***,5
optimizer_est_cost_root,0.3216,0.4292***,0.2531**,4
log_max_est_rows,6.765,0.1989*,0.3211***,5
log_sum_est_rows,-8.0143,0.2467**,0.3086***,5
max_log_card_error,0.45,0.4461***,0.0803,4
