metric,error,true_label,embedding,type_number
num_tables,-3.8353,0.2871**,-0.1612,6
num_columns,-0.7107,0.4069***,0.0010,4
num_joins,-5.643,0.3060***,-0.0110,4
num_filters,3.5895,0.0176,-0.2605**,6
longest_path_len,-4.3382,0.2631**,-0.1389,6
num_nodes,19.971,0.2614**,-0.1532,6
join_tree_diameter,0.1741,0.2202*,0.0027,6
num_blocking_ops,0.163,-0.1523,-0.0972,6
num_nested_loop,-8.3419,0.1608,-0.1721,6
max_est_join_input_rows,8.7937,0.2704**,0.2905**,6
sum_est_join_input_rows,-4.7933,0.3250***,0.2937**,4
num_highly_selective_filters,-9.5468*,0.1322,-0.2049*,6
log_filter_selectivity_product,-5.4285,-0.0551,0.3060***,5
optimizer_est_cost_root,-4.4621,0.4292***,0.2531**,4
log_max_est_rows,1.8681,0.1989*,0.3211***,5
log_sum_est_rows,-6.7807,0.2467**,0.3086***,5
max_log_card_error,-2.6115,0.4461***,0.0803,4
