metric,error,true_label,embedding,type_number
num_tables,3.0667,0.2871**,-0.2003*,6
num_columns,-0.3338,0.4069***,-0.0356,4
num_joins,2.0328,0.3060***,-0.0500,4
num_filters,2.3219,0.0176,-0.2931**,6
longest_path_len,-4.2961,0.2631**,-0.1751,6
num_nodes,-0.4577,0.2614**,-0.1951*,6
join_tree_diameter,0.2618,0.2202*,-0.0183,6
num_blocking_ops,1.2241,-0.1523,-0.1371,6
num_nested_loop,1.59,0.1608,-0.2090*,6
max_est_join_input_rows,2.28,0.2704**,0.2988**,6
sum_est_join_input_rows,-0.6218,0.3250***,0.2939**,4
num_highly_selective_filters,-4.9701*,0.1322,-0.2297*,6
log_filter_selectivity_product,-2.7115,-0.0551,0.3278***,5
optimizer_est_cost_root,-1.4661,0.4292***,0.2575**,4
log_max_est_rows,11.1569,0.1989*,0.3346***,5
log_sum_est_rows,-11.9225,0.2467**,0.3173***,5
max_log_card_error,-1.2114,0.4461***,0.0248,4
