metric,error,true_label,embedding,type_number
num_tables,-4.5791,0.2871**,-0.1752,6
num_columns,0.0849,0.4069***,-0.0101,4
num_joins,5.9209,0.3060***,-0.0188,4
num_filters,1.5782,0.0176,-0.2740**,6
longest_path_len,-0.8766,0.2631**,-0.1512,6
num_nodes,-3.1102,0.2614**,-0.1683,6
join_tree_diameter,-0.1832,0.2202*,0.0017,6
num_blocking_ops,1.23,-0.1523,-0.1069,6
num_nested_loop,7.9217,0.1608,-0.1884*,6
max_est_join_input_rows,1.0579,0.2704**,0.3002**,6
sum_est_join_input_rows,0.4818,0.3250***,0.3003**,4
num_highly_selective_filters,-6.748**,0.1322,-0.2127*,6
log_filter_selectivity_product,-4.2892,-0.0551,0.3128***,5
optimizer_est_cost_root,-1.9476,0.4292***,0.2681**,4
log_max_est_rows,10.8627,0.1989*,0.3330***,5
log_sum_est_rows,-11.5115,0.2467**,0.3195***,5
max_log_card_error,-1.3411,0.4461***,0.0609,4
