metric,error,true_label,embedding,type_number
num_tables,0.9421,0.2871**,-0.1604,6
num_columns,2.0162,0.4069***,0.0026,4
num_joins,1.5929,0.3060***,-0.0070,4
num_filters,2.7496,0.0176,-0.2598**,6
longest_path_len,-1.0478,0.2631**,-0.1378,6
num_nodes,-2.1125,0.2614**,-0.1509,6
join_tree_diameter,0.0952,0.2202*,0.0060,6
num_blocking_ops,2.1292,-0.1523,-0.0980,6
num_nested_loop,-1.0355,0.1608,-0.1708,6
max_est_join_input_rows,-2.1394,0.2704**,0.2877**,6
sum_est_join_input_rows,3.7301,0.3250***,0.2922**,4
num_highly_selective_filters,-4.3007,0.1322,-0.2026*,6
log_filter_selectivity_product,-2.6857,-0.0551,0.3050**,6
optimizer_est_cost_root,-1.5778,0.4292***,0.2509**,4
log_max_est_rows,14.4486,0.1989*,0.3171***,5
log_sum_est_rows,-15.495,0.2467**,0.3056***,5
max_log_card_error,-0.2453,0.4461***,0.0870,4
