metric,error,true_label,embedding,type_number
num_tables,-60.4721***,0.2871**,-0.1657,8
num_columns,-15.2212,0.4069***,-0.1863*,4
num_joins,-57.1788,0.3060***,0.0814,4
num_filters,-1.9554,0.0176,-0.0598,6
longest_path_len,2.3445,0.2631**,-0.0803,6
num_nodes,174.0311**,0.2614**,-0.0077,6
join_tree_diameter,2.6902,0.2202*,0.1380,6
num_blocking_ops,-7.2573,-0.1523,0.1911*,6
num_nested_loop,-52.562,0.1608,-0.1563,6
max_est_join_input_rows,11.1478,0.2704**,-0.1464,6
sum_est_join_input_rows,-5.9844,0.3250***,-0.1531,4
num_highly_selective_filters,-39.9785**,0.1322,-0.0641,6
log_filter_selectivity_product,-21.1404,-0.0551,0.1370,6
optimizer_est_cost_root,-7.1562,0.4292***,-0.0928,4
log_max_est_rows,53.2286,0.1989*,-0.0248,6
log_sum_est_rows,-63.3399,0.2467**,-0.0197,6
max_log_card_error,-9.413,0.4461***,-0.2901**,4
