dataset,task,metric,rank,sum_bad_types
job,card,join_tree_diameter,1,12
job,card,longest_path_len,1,12
job,card,num_nodes,1,12
job,card,log_filter_selectivity_product,4,0
job,card,log_max_est_rows,4,0
job,card,log_sum_est_rows,4,0
job,card,max_est_join_input_rows,4,0
job,card,max_log_card_error,4,0
job,card,num_blocking_ops,4,0
job,card,num_columns,4,0
job,card,num_filters,4,0
job,card,num_highly_selective_filters,4,0
job,card,num_joins,4,0
job,card,num_nested_loop,4,0
job,card,num_tables,4,0
job,card,optimizer_est_cost_root,4,0
job,card,sum_est_join_input_rows,4,0
job,time,join_tree_diameter,1,12
job,time,log_filter_selectivity_product,1,12
job,time,log_max_est_rows,1,12
job,time,log_sum_est_rows,1,12
job,time,max_est_join_input_rows,1,12
job,time,num_joins,1,12
job,time,optimizer_est_cost_root,1,12
job,time,sum_est_join_input_rows,1,12
job,time,longest_path_len,9,0
job,time,max_log_card_error,9,0
job,time,num_blocking_ops,9,0
job,time,num_columns,9,0
job,time,num_filters,9,0
job,time,num_highly_selective_filters,9,0
job,time,num_nested_loop,9,0
job,time,num_nodes,9,0
job,time,num_tables,9,0
job_full,time,log_max_est_rows,1,12
job_full,time,log_sum_est_rows,1,12
job_full,time,max_log_card_error,1,12
job_full,time,num_columns,1,12
job_full,time,num_joins,1,12
job_full,time,optimizer_est_cost_root,1,12
job_full,time,sum_est_join_input_rows,1,12
job_full,time,log_filter_selectivity_product,8,9
job_full,time,join_tree_diameter,9,0
job_full,time,longest_path_len,9,0
job_full,time,max_est_join_input_rows,9,0
job_full,time,num_blocking_ops,9,0
job_full,time,num_filters,9,0
job_full,time,num_highly_selective_filters,9,0
job_full,time,num_nested_loop,9,0
job_full,time,num_nodes,9,0
job_full,time,num_tables,9,0
stats,card,log_filter_selectivity_product,1,12
stats,card,num_highly_selective_filters,1,12
stats,card,join_tree_diameter,3,0
stats,card,log_max_est_rows,3,0
stats,card,log_sum_est_rows,3,0
stats,card,longest_path_len,3,0
stats,card,max_est_join_input_rows,3,0
stats,card,max_log_card_error,3,0
stats,card,num_blocking_ops,3,0
stats,card,num_columns,3,0
stats,card,num_filters,3,0
stats,card,num_joins,3,0
stats,card,num_nested_loop,3,0
stats,card,num_nodes,3,0
stats,card,num_tables,3,0
stats,card,optimizer_est_cost_root,3,0
stats,card,sum_est_join_input_rows,3,0
stats,time,join_tree_diameter,1,12
stats,time,max_est_join_input_rows,1,12
stats,time,num_blocking_ops,1,12
stats,time,num_joins,1,12
stats,time,num_nodes,1,12
stats,time,num_tables,1,12
stats,time,optimizer_est_cost_root,1,12
stats,time,sum_est_join_input_rows,1,12
stats,time,log_filter_selectivity_product,9,0
stats,time,log_max_est_rows,9,0
stats,time,log_sum_est_rows,9,0
stats,time,longest_path_len,9,0
stats,time,max_log_card_error,9,0
stats,time,num_columns,9,0
stats,time,num_filters,9,0
stats,time,num_highly_selective_filters,9,0
stats,time,num_nested_loop,9,0
syn,card,max_log_card_error,1,12
syn,card,num_highly_selective_filters,1,12
syn,card,num_nodes,1,12
syn,card,join_tree_diameter,4,6
syn,card,log_filter_selectivity_product,5,0
syn,card,log_max_est_rows,5,0
syn,card,log_sum_est_rows,5,0
syn,card,longest_path_len,5,0
syn,card,max_est_join_input_rows,5,0
syn,card,num_blocking_ops,5,0
syn,card,num_columns,5,0
syn,card,num_filters,5,0
syn,card,num_joins,5,0
syn,card,num_nested_loop,5,0
syn,card,num_tables,5,0
syn,card,optimizer_est_cost_root,5,0
syn,card,sum_est_join_input_rows,5,0
syn,time,join_tree_diameter,1,12
syn,time,log_filter_selectivity_product,1,12
syn,time,log_max_est_rows,1,12
syn,time,log_sum_est_rows,1,12
syn,time,longest_path_len,1,12
syn,time,max_est_join_input_rows,1,12
syn,time,num_columns,1,12
syn,time,num_highly_selective_filters,1,12
syn,time,num_joins,1,12
syn,time,num_nodes,1,12
syn,time,num_tables,1,12
syn,time,sum_est_join_input_rows,1,12
syn,time,optimizer_est_cost_root,13,6
syn,time,max_log_card_error,14,0
syn,time,num_blocking_ops,14,0
syn,time,num_filters,14,0
syn,time,num_nested_loop,14,0
tpcds,time,join_tree_diameter,1,0
tpcds,time,log_filter_selectivity_product,1,0
tpcds,time,log_max_est_rows,1,0
tpcds,time,log_sum_est_rows,1,0
tpcds,time,longest_path_len,1,0
tpcds,time,max_est_join_input_rows,1,0
tpcds,time,max_log_card_error,1,0
tpcds,time,num_blocking_ops,1,0
tpcds,time,num_columns,1,0
tpcds,time,num_filters,1,0
tpcds,time,num_highly_selective_filters,1,0
tpcds,time,num_joins,1,0
tpcds,time,num_nested_loop,1,0
tpcds,time,num_nodes,1,0
tpcds,time,num_tables,1,0
tpcds,time,optimizer_est_cost_root,1,0
tpcds,time,sum_est_join_input_rows,1,0
tpch,time,join_tree_diameter,1,0
tpch,time,log_filter_selectivity_product,1,0
tpch,time,log_max_est_rows,1,0
tpch,time,log_sum_est_rows,1,0
tpch,time,longest_path_len,1,0
tpch,time,max_est_join_input_rows,1,0
tpch,time,max_log_card_error,1,0
tpch,time,num_blocking_ops,1,0
tpch,time,num_columns,1,0
tpch,time,num_filters,1,0
tpch,time,num_highly_selective_filters,1,0
tpch,time,num_joins,1,0
tpch,time,num_nested_loop,1,0
tpch,time,num_nodes,1,0
tpch,time,num_tables,1,0
tpch,time,optimizer_est_cost_root,1,0
tpch,time,sum_est_join_input_rows,1,0
