metric,error,true_label,embedding,type_number
num_tables,1.0003,0.4716***,0.6355***,3
num_columns,-1.133,0.3546***,0.6409***,3
num_joins,-0.603,0.5664***,0.0508**,4
num_filters,-0.0063,0.0304,0.4459***,5
longest_path_len,-3.2641,0.5142***,0.4128***,3
num_nodes,4.5419,0.5388***,0.5496***,3
join_tree_diameter,1.8476,0.3669***,0.1636***,3
num_blocking_ops,-0.4873,0.2316***,0.0816***,3
num_nested_loop,1.4018,-0.0823***,0.4427***,5
max_est_join_input_rows,0.076,0.4715***,-0.0745***,4
sum_est_join_input_rows,-0.997,0.5636***,-0.0819***,4
num_highly_selective_filters,0.8593,-0.2882***,0.1411***,5
log_filter_selectivity_product,0.9202,0.2436***,-0.2519***,4
optimizer_est_cost_root,0.0159,0.6351***,0.0418*,4
log_max_est_rows,1.6177,0.7555***,-0.0432*,4
log_sum_est_rows,-0.9407,0.7592***,-0.0573**,4
max_log_card_error,2.5889,0.1750***,0.3006***,3
