metric,error,true_label,embedding,type_number
num_tables,0.0059,0.4716***,0.1555***,3
num_columns,0.0047,0.3546***,0.0751***,3
num_joins,0.002,0.5664***,0.3940***,3
num_filters,0.0055,0.0304,0.0450*,6
longest_path_len,0.0049,0.5142***,0.2349***,3
num_nodes,0.005,0.5388***,0.1917***,3
join_tree_diameter,0.0017,0.3669***,0.0682***,3
num_blocking_ops,0.0068,0.2316***,0.1387***,3
num_nested_loop,0.0037,-0.0823***,-0.2416***,6
max_est_join_input_rows,0.0012,0.4715***,0.2130***,3
sum_est_join_input_rows,0.0013,0.5636***,0.2726***,3
num_highly_selective_filters,-0.0018,-0.2882***,-0.1048***,6
log_filter_selectivity_product,0.0018,0.2436***,-0.0604**,4
optimizer_est_cost_root,0.0013,0.6351***,0.2408***,3
log_max_est_rows,0.0044,0.7555***,0.2561***,3
log_sum_est_rows,0.0044,0.7592***,0.2625***,3
max_log_card_error,0.0019,0.1750***,0.0976***,3
