metric,error,true_label,embedding,type_number
num_tables,0.0127,0.4716***,0.3022***,3
num_columns,0.0123,0.3546***,0.2013***,3
num_joins,0.0024,0.5664***,0.2591***,3
num_filters,0.0083,0.0304,0.0586**,6
longest_path_len,0.0104,0.5142***,0.2992***,3
num_nodes,0.0116,0.5388***,0.3078***,3
join_tree_diameter,0.001,0.3669***,0.1122***,3
num_blocking_ops,0.002,0.2316***,0.1934***,3
num_nested_loop,0.0094,-0.0823***,0.0451*,6
max_est_join_input_rows,0.0008,0.4715***,0.1989***,3
sum_est_join_input_rows,0.0009,0.5636***,0.2631***,3
num_highly_selective_filters,0.0033,-0.2882***,0.1922***,5
log_filter_selectivity_product,-0.0035,0.2436***,-0.0923***,4
optimizer_est_cost_root,0.001,0.6351***,0.2678***,3
log_max_est_rows,0.0045,0.7555***,0.4160***,3
log_sum_est_rows,0.0032,0.7592***,0.4034***,3
max_log_card_error,0.0107,0.1750***,0.2303***,3
