metric,error,true_label,embedding,type_number
num_tables,0.0078,0.4716***,0.2914***,3
num_columns,0.0083,0.3546***,0.1918***,3
num_joins,0.002,0.5664***,0.2429***,3
num_filters,0.0063,0.0304,0.0570**,6
longest_path_len,0.0055,0.5142***,0.2888***,3
num_nodes,0.0062,0.5388***,0.2962***,3
join_tree_diameter,0.0018,0.3669***,0.0993***,3
num_blocking_ops,0.0023,0.2316***,0.1890***,3
num_nested_loop,0.0053,-0.0823***,0.0507**,6
max_est_join_input_rows,0.0008,0.4715***,0.1828***,3
sum_est_join_input_rows,0.0008,0.5636***,0.2468***,3
num_highly_selective_filters,0.0017,-0.2882***,0.2082***,5
log_filter_selectivity_product,-0.0024,0.2436***,-0.1008***,4
optimizer_est_cost_root,0.0008,0.6351***,0.2513***,3
log_max_est_rows,0.0032,0.7555***,0.3954***,3
log_sum_est_rows,0.0023,0.7592***,0.3837***,3
max_log_card_error,0.0084,0.1750***,0.2243***,3
