metric,error,true_label,embedding,type_number
num_tables,0.0108,0.4716***,0.3002***,3
num_columns,0.0115,0.3546***,0.1987***,3
num_joins,0.0038,0.5664***,0.2629***,3
num_filters,0.0074,0.0304,0.0558**,6
longest_path_len,0.0094,0.5142***,0.2990***,3
num_nodes,0.0093,0.5388***,0.3070***,3
join_tree_diameter,-0.0003,0.3669***,0.1141***,3
num_blocking_ops,0.0042,0.2316***,0.1933***,3
num_nested_loop,0.0065,-0.0823***,0.0397*,6
max_est_join_input_rows,0.0009,0.4715***,0.2035***,3
sum_est_join_input_rows,0.001,0.5636***,0.2679***,3
num_highly_selective_filters,0.0041,-0.2882***,0.1905***,5
log_filter_selectivity_product,-0.0047,0.2436***,-0.0895***,4
optimizer_est_cost_root,0.001,0.6351***,0.2706***,3
log_max_est_rows,0.0047,0.7555***,0.4201***,3
log_sum_est_rows,0.0036,0.7592***,0.4078***,3
max_log_card_error,0.0089,0.1750***,0.2277***,3
