metric,error,true_label,embedding,type_number
num_tables,-28.9246,0.4716***,0.0591**,4
num_columns,82.984,0.3546***,0.0508**,4
num_joins,-15.4651,0.5664***,-0.0767***,4
num_filters,26.6164,0.0304,-0.0337,6
longest_path_len,7.9866,0.5142***,0.0356,4
num_nodes,-4.0168,0.5388***,0.0442*,4
join_tree_diameter,-32.3682,0.3669***,-0.0548**,4
num_blocking_ops,-13.0188,0.2316***,-0.0036,4
num_nested_loop,-13.0123,-0.0823***,0.1094***,5
max_est_join_input_rows,-12.3444,0.4715***,-0.0572**,4
sum_est_join_input_rows,-10.539,0.5636***,-0.0591**,4
num_highly_selective_filters,40.4853,-0.2882***,0.1091***,5
log_filter_selectivity_product,46.5982,0.2436***,-0.1002***,4
optimizer_est_cost_root,2.6741,0.6351***,0.0218,4
log_max_est_rows,49.7926,0.7555***,-0.0926***,4
log_sum_est_rows,20.4219,0.7592***,-0.1011***,4
max_log_card_error,58.1047,0.1750***,0.0178,4
