metric,error,true_label,embedding,type_number
num_tables,0.5472,0.3282***,-0.1922*,4
num_columns,0.8996,0.2168**,-0.1779*,6
num_joins,0.3829,0.3195***,0.2956***,3
num_filters,-0.0513,0.0798,-0.3351***,6
longest_path_len,0.2442,0.2176**,-0.1167,6
num_nodes,-1.1778,0.3734***,-0.2231**,4
join_tree_diameter,-0.107,0.2803***,-0.2751***,4
num_blocking_ops,-0.0518,0.3311***,0.5633***,3
num_nested_loop,0.1396,0.0328,-0.4823***,6
max_est_join_input_rows,7.794,0.3902***,0.2755***,3
sum_est_join_input_rows,-8.8767,0.4028***,0.2928***,3
num_highly_selective_filters,-0.2545,-0.2687**,0.0786,6
log_filter_selectivity_product,0.3944,0.0460,0.0720,6
optimizer_est_cost_root,0.5962,0.5158***,-0.0132,4
log_max_est_rows,4.0224,0.5899***,0.1396,4
log_sum_est_rows,-4.3604,0.5796***,0.1634,4
max_log_card_error,1.3746*,0.3815***,0.1012,4
