metric,error,true_label,embedding,type_number
num_tables,3.0509,0.3282***,0.4722***,3
num_columns,0.5936,0.2168**,0.4644***,5
num_joins,1.2179,0.3195***,-0.3680***,4
num_filters,-0.9606,0.0798,0.4336***,5
longest_path_len,0.3661,0.2176**,0.4127***,5
num_nodes,-3.2109,0.3734***,0.3673***,3
join_tree_diameter,-0.3135,0.2803***,-0.1653,4
num_blocking_ops,0.1158,0.3311***,-0.1885*,4
num_nested_loop,1.4159,0.0328,0.5549***,5
max_est_join_input_rows,101.6677,0.3902***,-0.5083***,4
sum_est_join_input_rows,-102.6369,0.4028***,-0.5143***,4
num_highly_selective_filters,0.1724,-0.2687**,0.2720**,6
log_filter_selectivity_product,1.4962,0.0460,-0.2938***,6
optimizer_est_cost_root,0.283,0.5158***,-0.2438**,4
log_max_est_rows,-0.2231,0.5899***,-0.2914***,4
log_sum_est_rows,0.8293,0.5796***,-0.3178***,4
max_log_card_error,1.1419,0.3815***,0.1113,4
