metric,error,true_label,embedding,type_number
num_tables,15.6275,0.3282***,-0.1566,4
num_columns,2.4051,0.2168**,-0.1061,6
num_joins,1.1072,0.3195***,0.4710***,3
num_filters,-5.0825,0.0798,-0.2414**,6
longest_path_len,4.3393,0.2176**,0.0104,6
num_nodes,-10.8363,0.3734***,-0.0040,4
join_tree_diameter,-7.7583,0.2803***,0.0180,4
num_blocking_ops,11.4502**,0.3311***,-0.0423,4
num_nested_loop,10.819*,0.0328,-0.4564***,6
max_est_join_input_rows,1002.7759,0.3902***,0.1669*,4
sum_est_join_input_rows,-982.5748,0.4028***,0.2437**,4
num_highly_selective_filters,-11.8565,-0.2687**,-0.2422**,6
log_filter_selectivity_product,-1.9595,0.0460,0.1841*,6
optimizer_est_cost_root,-15.7104*,0.5158***,0.2068*,4
log_max_est_rows,-37.5314,0.5899***,0.1608,4
log_sum_est_rows,53.8593,0.5796***,0.1879*,4
max_log_card_error,-2.7731,0.3815***,-0.2857***,4
