metric,error,true_label,embedding,type_number
num_tables,0.7144,0.3282***,0.1007,4
num_columns,0.4824,0.2168**,-0.0484,6
num_joins,-0.047,0.3195***,-0.0083,4
num_filters,0.0204,0.0798,0.0079,6
longest_path_len,0.542,0.2176**,-0.0239,6
num_nodes,-1.074,0.3734***,0.0769,4
join_tree_diameter,-0.2177,0.2803***,0.0055,4
num_blocking_ops,0.1702,0.3311***,0.1629,4
num_nested_loop,0.5624,0.0328,0.1029,6
max_est_join_input_rows,-38.5577,0.3902***,0.1544,4
sum_est_join_input_rows,39.1036,0.4028***,0.1283,4
num_highly_selective_filters,1.105,-0.2687**,0.1527,6
log_filter_selectivity_product,2.0534,0.0460,-0.1682*,6
optimizer_est_cost_root,-0.5527,0.5158***,0.1499,4
log_max_est_rows,2.8874,0.5899***,0.3553***,3
log_sum_est_rows,-3.0551,0.5796***,0.3316***,3
max_log_card_error,1.2469,0.3815***,0.3551***,3
