metric,error,true_label,embedding,type_number
num_tables,0.2254,0.3282***,0.1007,4
num_columns,0.9658,0.2168**,-0.0484,6
num_joins,-0.1168,0.3195***,-0.0083,4
num_filters,-0.6137,0.0798,0.0079,6
longest_path_len,0.9921,0.2176**,-0.0239,6
num_nodes,-0.9577,0.3734***,0.0769,4
join_tree_diameter,0.0566,0.2803***,0.0055,4
num_blocking_ops,0.2447,0.3311***,0.1629,4
num_nested_loop,0.2483,0.0328,0.1029,6
max_est_join_input_rows,20.0509,0.3902***,0.1544,4
sum_est_join_input_rows,-15.7035,0.4028***,0.1283,4
num_highly_selective_filters,-0.7964,-0.2687**,0.1527,6
log_filter_selectivity_product,0.0742,0.0460,-0.1682*,6
optimizer_est_cost_root,-2.739**,0.5158***,0.1499,4
log_max_est_rows,3.1406,0.5899***,0.3553***,3
log_sum_est_rows,-3.3978,0.5796***,0.3316***,3
max_log_card_error,0.6947,0.3815***,0.3551***,3
