metric,error,true_label,embedding,type_number
num_tables,2.2805,0.3282***,0.1026,4
num_columns,0.4058,0.2168**,-0.0470,6
num_joins,0.7821,0.3195***,-0.0121,4
num_filters,-0.3,0.0798,0.0093,6
longest_path_len,0.2503,0.2176**,-0.0226,6
num_nodes,-2.7393*,0.3734***,0.0780,4
join_tree_diameter,-0.2247,0.2803***,0.0042,4
num_blocking_ops,0.2101,0.3311***,0.1647,4
num_nested_loop,1.1475,0.0328,0.1070,6
max_est_join_input_rows,2.2901,0.3902***,0.1511,4
sum_est_join_input_rows,-2.5215,0.4028***,0.1249,4
num_highly_selective_filters,0.1194,-0.2687**,0.1526,6
log_filter_selectivity_product,0.7796,0.0460,-0.1682*,6
optimizer_est_cost_root,0.174,0.5158***,0.1483,4
log_max_est_rows,-0.5067,0.5899***,0.3533***,3
log_sum_est_rows,1.1859,0.5796***,0.3292***,3
max_log_card_error,0.0192,0.3815***,0.3576***,3
