metric,error,true_label,embedding,type_number
num_tables,1.64,0.3282***,0.1065,4
num_columns,0.4694,0.2168**,-0.0514,6
num_joins,0.6154,0.3195***,-0.0065,4
num_filters,-0.1791,0.0798,0.0143,6
longest_path_len,0.9523,0.2176**,-0.0112,6
num_nodes,-2.8817*,0.3734***,0.0860,4
join_tree_diameter,0.1903,0.2803***,0.0073,4
num_blocking_ops,-0.0744,0.3311***,0.1672*,4
num_nested_loop,0.7884,0.0328,0.1077,6
max_est_join_input_rows,9.0189,0.3902***,0.1640,4
sum_est_join_input_rows,-9.5673,0.4028***,0.1391,4
num_highly_selective_filters,0.3898,-0.2687**,0.1511,6
log_filter_selectivity_product,0.9738,0.0460,-0.1810*,6
optimizer_est_cost_root,0.3453,0.5158***,0.1700*,4
log_max_est_rows,0.4311,0.5899***,0.3767***,3
log_sum_est_rows,-0.0781,0.5796***,0.3542***,3
max_log_card_error,0.5249,0.3815***,0.3743***,3
