metric,error,true_label,embedding,type_number
num_tables,2.3224,0.3282***,0.1062,4
num_columns,1.0934,0.2168**,-0.0413,6
num_joins,0.4727,0.3195***,-0.0105,4
num_filters,0.3187,0.0798,0.0136,6
longest_path_len,1.2711,0.2176**,-0.0182,6
num_nodes,-4.0647,0.3734***,0.0810,4
join_tree_diameter,0.0216,0.2803***,0.0061,4
num_blocking_ops,0.4007,0.3311***,0.1709*,4
num_nested_loop,1.3936,0.0328,0.1082,6
max_est_join_input_rows,-22.7589,0.3902***,0.1508,4
sum_est_join_input_rows,21.8652,0.4028***,0.1244,4
num_highly_selective_filters,1.3411,-0.2687**,0.1524,6
log_filter_selectivity_product,2.9448,0.0460,-0.1694*,6
optimizer_est_cost_root,0.2966,0.5158***,0.1453,4
log_max_est_rows,2.2466,0.5899***,0.3514***,3
log_sum_est_rows,-1.5792,0.5796***,0.3273***,3
max_log_card_error,1.4489,0.3815***,0.3593***,3
