metric,error,true_label,embedding,type_number
num_tables,23.5741,0.3282***,-0.0214,4
num_columns,-2.474,0.2168**,0.0132,6
num_joins,3.0507,0.3195***,-0.2973***,4
num_filters,-2.9519,0.0798,-0.0318,6
longest_path_len,-1.9503,0.2176**,-0.0885,6
num_nodes,-2.3064,0.3734***,-0.0685,4
join_tree_diameter,-13.0911,0.2803***,-0.1459,4
num_blocking_ops,8.3841,0.3311***,-0.1430,4
num_nested_loop,15.361,0.0328,0.2039*,6
max_est_join_input_rows,1340.2823,0.3902***,-0.2196**,4
sum_est_join_input_rows,-1304.1472,0.4028***,-0.2522**,4
num_highly_selective_filters,-8.3397,-0.2687**,0.0315,6
log_filter_selectivity_product,5.5216,0.0460,0.0964,6
optimizer_est_cost_root,-19.149,0.5158***,-0.1542,4
log_max_est_rows,-24.9647,0.5899***,-0.2873***,4
log_sum_est_rows,54.7698,0.5796***,-0.2971***,4
max_log_card_error,-3.0934,0.3815***,-0.1223,4
