metric,error,true_label,embedding,type_number
num_tables,-1.87e+11,0.3422***,0.2715***,3
num_columns,0.0209,0.3887***,0.1744***,3
num_joins,2.42e+11,0.7215***,-0.0877***,4
num_filters,-0.0665,-0.3828***,-0.1327***,6
longest_path_len,0.112,-0.0828***,-0.0206**,6
num_nodes,-0.9076*,0.1779***,0.1604***,3
join_tree_diameter,0.0212,0.6456***,-0.2256***,4
num_blocking_ops,-0.029,0.3981***,0.0768***,3
num_nested_loop,2.11e+11,-0.5593***,0.1358***,5
max_est_join_input_rows,2.3901***,0.7808***,-0.1690***,1
sum_est_join_input_rows,-4.0427***,0.7876***,-0.1505***,1
num_highly_selective_filters,-0.1781*,-0.7295***,0.3301***,5
log_filter_selectivity_product,-0.244***,0.8385***,-0.1227***,1
optimizer_est_cost_root,1.2962***,0.8387***,-0.1745***,1
log_max_est_rows,-1.1573*,0.9480***,-0.1778***,4
log_sum_est_rows,1.0419*,0.9516***,-0.1830***,4
max_log_card_error,1.5134***,-0.0925***,0.2766***,7
