metric,error,true_label,embedding,type_number
num_tables,-1.11e+13***,0.3422***,-0.2898***,1
num_columns,1.8266***,0.3887***,-0.3124***,1
num_joins,1.43e+13***,0.7215***,-0.0025,1
num_filters,-1.1551***,-0.3828***,0.0065,8
longest_path_len,1.9503,-0.0828***,0.0345***,5
num_nodes,-6.3408*,0.1779***,-0.0928***,4
join_tree_diameter,-2.6721***,0.6456***,0.0135,1
num_blocking_ops,0.9123,0.3981***,-0.1877***,4
num_nested_loop,1.25e+13***,-0.5593***,-0.2744***,8
max_est_join_input_rows,9.2478***,0.7808***,-0.1268***,1
sum_est_join_input_rows,-15.5284***,0.7876***,-0.1228***,1
num_highly_selective_filters,-3.9071***,-0.7295***,-0.1503***,8
log_filter_selectivity_product,-4.1891***,0.8385***,0.0230**,1
optimizer_est_cost_root,6.1334***,0.8387***,-0.0539***,1
log_max_est_rows,-6.1581,0.9480***,-0.0313***,4
log_sum_est_rows,-1.5799,0.9516***,-0.0451***,4
max_log_card_error,1.0153***,-0.0925***,-0.1136***,8
