metric,error,true_label,embedding,type_number
num_tables,-6.58e+11***,0.3422***,0.0902***,2
num_columns,0.1842***,0.3887***,0.1006***,2
num_joins,8.49e+11***,0.7215***,0.1291***,2
num_filters,0.0558*,-0.3828***,-0.2973***,6
longest_path_len,-0.121,-0.0828***,-0.2493***,6
num_nodes,0.044,0.1779***,-0.0640***,4
join_tree_diameter,0.027,0.6456***,0.0274***,3
num_blocking_ops,-0.0551,0.3981***,0.2481***,3
num_nested_loop,7.40e+11***,-0.5593***,-0.1537***,8
max_est_join_input_rows,0.4878***,0.7808***,0.2019***,2
sum_est_join_input_rows,-0.8828***,0.7876***,0.2081***,2
num_highly_selective_filters,-0.0333,-0.7295***,0.1184***,5
log_filter_selectivity_product,-0.286***,0.8385***,0.1616***,2
optimizer_est_cost_root,0.4587***,0.8387***,0.2597***,2
log_max_est_rows,-0.2163,0.9480***,0.2096***,3
log_sum_est_rows,-0.1749,0.9516***,0.1952***,3
max_log_card_error,0.3475***,-0.0925***,0.1217***,7
