metric,error,true_label,embedding,type_number
num_tables,-1.68e+11,0.3422***,0.0902***,3
num_columns,0.1027*,0.3887***,0.1006***,3
num_joins,2.17e+11,0.7215***,0.1291***,3
num_filters,0.0935***,-0.3828***,-0.2973***,6
longest_path_len,-0.0756,-0.0828***,-0.2493***,6
num_nodes,-0.0943,0.1779***,-0.0640***,4
join_tree_diameter,0.0098,0.6456***,0.0274***,3
num_blocking_ops,-0.0117,0.3981***,0.2481***,3
num_nested_loop,1.89e+11,-0.5593***,-0.1537***,6
max_est_join_input_rows,0.4435***,0.7808***,0.2019***,2
sum_est_join_input_rows,-0.7565***,0.7876***,0.2081***,2
num_highly_selective_filters,-0.082,-0.7295***,0.1184***,5
log_filter_selectivity_product,-0.2774***,0.8385***,0.1616***,2
optimizer_est_cost_root,0.4015***,0.8387***,0.2597***,2
log_max_est_rows,-0.0496,0.9480***,0.2096***,3
log_sum_est_rows,-0.5074,0.9516***,0.1952***,3
max_log_card_error,0.1972***,-0.0925***,0.1217***,7
