metric,error,true_label,embedding,type_number
num_tables,-7.76e+10,0.3422***,0.0895***,3
num_columns,0.3396***,0.3887***,0.1018***,2
num_joins,1.00e+11,0.7215***,0.1156***,3
num_filters,0.0235,-0.3828***,-0.2912***,6
longest_path_len,-0.2329,-0.0828***,-0.2566***,6
num_nodes,0.3726,0.1779***,-0.0706***,4
join_tree_diameter,0.0501,0.6456***,0.0140,4
num_blocking_ops,-0.0861,0.3981***,0.2474***,3
num_nested_loop,8.72e+10,-0.5593***,-0.1388***,6
max_est_join_input_rows,0.6818***,0.7808***,0.1954***,2
sum_est_join_input_rows,-1.0978***,0.7876***,0.2012***,2
num_highly_selective_filters,-0.0726,-0.7295***,0.1435***,5
log_filter_selectivity_product,-0.2866***,0.8385***,0.1445***,2
optimizer_est_cost_root,0.3107***,0.8387***,0.2464***,2
log_max_est_rows,1.6376***,0.9480***,0.1950***,2
log_sum_est_rows,-1.9122***,0.9516***,0.1807***,2
max_log_card_error,0.6813***,-0.0925***,0.1236***,7
