metric,error,true_label,embedding,type_number
num_tables,-3.04e+11*,0.3422***,0.0911***,3
num_columns,0.3413***,0.3887***,0.1023***,2
num_joins,3.92e+11*,0.7215***,0.1245***,3
num_filters,0.0858***,-0.3828***,-0.2946***,6
longest_path_len,0.0816,-0.0828***,-0.2511***,6
num_nodes,-0.2275,0.1779***,-0.0653***,4
join_tree_diameter,0.0032,0.6456***,0.0227**,4
num_blocking_ops,-0.0496,0.3981***,0.2481***,3
num_nested_loop,3.41e+11*,-0.5593***,-0.1480***,6
max_est_join_input_rows,0.9211***,0.7808***,0.2001***,2
sum_est_join_input_rows,-1.4353***,0.7876***,0.2061***,2
num_highly_selective_filters,-0.03,-0.7295***,0.1278***,5
log_filter_selectivity_product,-0.0984**,0.8385***,0.1550***,3
optimizer_est_cost_root,0.4395***,0.8387***,0.2561***,2
log_max_est_rows,0.2263,0.9480***,0.2048***,3
log_sum_est_rows,-0.5363,0.9516***,0.1905***,3
max_log_card_error,0.7875***,-0.0925***,0.1236***,7
