metric,error,true_label,embedding,type_number
num_tables,-4.92e+11***,0.3422***,0.0899***,2
num_columns,0.2344***,0.3887***,0.1000***,2
num_joins,6.35e+11***,0.7215***,0.1302***,2
num_filters,0.0547*,-0.3828***,-0.2962***,6
longest_path_len,-0.0283,-0.0828***,-0.2444***,6
num_nodes,-0.0645,0.1779***,-0.0607***,4
join_tree_diameter,0.0545,0.6456***,0.0285***,3
num_blocking_ops,-0.0373,0.3981***,0.2472***,3
num_nested_loop,5.53e+11***,-0.5593***,-0.1554***,8
max_est_join_input_rows,0.9335***,0.7808***,0.2002***,2
sum_est_join_input_rows,-1.4245***,0.7876***,0.2065***,2
num_highly_selective_filters,-0.1168*,-0.7295***,0.1161***,5
log_filter_selectivity_product,-0.2155***,0.8385***,0.1615***,2
optimizer_est_cost_root,0.4315***,0.8387***,0.2594***,2
log_max_est_rows,0.2272,0.9480***,0.2092***,3
log_sum_est_rows,-0.6121,0.9516***,0.1947***,3
max_log_card_error,0.745***,-0.0925***,0.1222***,7
