metric,error,true_label,embedding,type_number
num_tables,7.54e+12,0.3422***,-0.1040***,4
num_columns,-10.0188***,0.3887***,-0.0013,1
num_joins,-9.72e+12,0.7215***,0.0171*,4
num_filters,-3.9139***,-0.3828***,0.0493***,7
longest_path_len,10.4273,-0.0828***,0.0718***,5
num_nodes,-31.7154***,0.1779***,0.0223**,1
join_tree_diameter,4.569***,0.6456***,0.0139,1
num_blocking_ops,11.2109***,0.3981***,-0.0893***,1
num_nested_loop,-8.47e+12,-0.5593***,-0.1436***,6
max_est_join_input_rows,45.6315***,0.7808***,-0.0801***,1
sum_est_join_input_rows,-72.2005***,0.7876***,-0.0728***,1
num_highly_selective_filters,-16.3397***,-0.7295***,-0.0328***,8
log_filter_selectivity_product,-13.3648***,0.8385***,-0.0573***,1
optimizer_est_cost_root,43.0846***,0.8387***,0.0196*,1
log_max_est_rows,-20.1948*,0.9480***,-0.0339***,4
log_sum_est_rows,-37.939***,0.9516***,-0.0436***,1
max_log_card_error,-3.8913***,-0.0925***,-0.0970***,8
