metric,error,true_label,embedding,type_number
num_tables,-5.25e+11,0.2351***,-0.2776***,4
num_columns,-0.0499,0.3363***,-0.2903***,4
num_joins,4.65e+11,0.6328***,0.3275***,3
num_filters,0.0306,0.0187,-0.4918***,6
longest_path_len,-0.0506,0.1338***,-0.4225***,4
num_nodes,0.1349,0.2064***,-0.3512***,4
join_tree_diameter,0.022,0.6199***,0.2542***,3
num_blocking_ops,-0.0494,0.2660***,0.2492***,3
num_nested_loop,5.06e+11,-0.3127***,-0.7162***,6
max_est_join_input_rows,0.0197,0.6765***,0.3749***,3
sum_est_join_input_rows,-0.0456,0.6779***,0.3848***,3
num_highly_selective_filters,-0.0288,-0.6130***,-0.4156***,6
log_filter_selectivity_product,-0.0081,0.5989***,0.6627***,3
optimizer_est_cost_root,0.0321,0.9215***,0.3118***,3
log_max_est_rows,0.6786*,0.8339***,0.5779***,3
log_sum_est_rows,-0.6156,0.8641***,0.5657***,3
max_log_card_error,0.0987***,-0.1373***,-0.3916***,6
